key,description,en,zh_CN,zh_TW,es,fr,de,ja,ko,pt,it,ru,tr,hi,id,vi,ar
app_title,App 標題,Seek Player,时间位移播放器,時間位移播放器,Reproductor Seek,Lecteur Seek,Seek Player,シークプレイヤー,시크 플레이어,Reprodutor Seek,Lettore Seek,Плеер Seek,Seek Oynatıcı,सीक प्लेयर,Pemutar Seek,Trình phát Seek,مشغل سيك
tab_music_list,底部導覽-音樂列表,Music,音乐,音樂,Música,Musique,Musik,音楽,음악,Música,Musica,Музыка,Müzik,संगीत,Musik,Nhạc,الموسيقى
tab_player,底部導覽-播放器,Player,播放器,播放器,Reproductor,Lecteur,Player,プレイヤー,플레이어,Reprodutor,Lettore,Плеер,Oynatıcı,प्लेयर,Pemutar,Trình phát,المشغل
tab_profile,底部導覽-我的,Profile,我的,我的,Perfil,Profil,Profil,マイページ,마이,Perfil,Profilo,Профиль,Profil,प्रोफ़ाइल,Profil,Cá nhân,حسابي
profile_account,我的-帳戶,Account,账户,帳戶,Cuenta,Compte,Konto,アカウント,계정,Conta,Account,Аккаунт,Hesap,खाता,Akun,Tài khoản,الحساب
profile_statistics,我的-統計數據,Statistics,统计数据,統計數據,Estadísticas,Statistiques,Statistiken,統計,통계,Estatísticas,Statistiche,Статистика,İstatistikler,आँकड़े,Statistik,Thống kê,الإحصائيات
profile_settings,我的-設定,Settings,设置,設定,Ajustes,Paramètres,Einstellungen,設定,설정,Configurações,Impostazioni,Настройки,Ayarlar,सेटिंग्स,Pengaturan,Cài đặt,الإعدادات
profile_about,我的-關於,About,关于,關於,Acerca de,À propos,Über,アプリについて,정보,Sobre,Informazioni,О приложении,Hakkında,परिचय,Tentang,Giới thiệu,حول
player_play,播放,Play,播放,播放,Reproducir,Lire,Wiedergabe,再生,재생,Reproduzir,Riproduci,Воспроизвести,Oynat,चलाएँ,Putar,Phát,تشغيل
player_pause,暫停,Pause,暂停,暫停,Pausa,Pause,Pause,一時停止,일시정지,Pausar,Pausa,Пауза,Duraklat,रोकें,Jeda,Tạm dừng,إيقاف مؤقت
player_next,下一首,Next,下一首,下一首,Siguiente,Suivant,Weiter,次へ,다음,Próxima,Successivo,Следующий,Sonraki,अगला,Berikutnya,Tiếp theo,التالي
player_previous,上一首,Previous,上一首,上一首,Anterior,Précédent,Zurück,前へ,이전,Anterior,Precedente,Предыдущий,Önceki,पिछला,Sebelumnya,Trước đó,السابق
