key,en,zh,zh_TW,zh_CN,ja,ko,de,es,fr,it,pt,ru,tr,vi,id,ar,hi
app_title,Seek Player,時間位移播放器,時間位移播放器,时间位移播放器,シークプレイヤー,시크 플레이어,Seek Player,Reproductor Seek,Lecteur Seek,Lettore Seek,Reprodutor Seek,Плеер Seek,Seek Oynatıcı,Trình phát Seek,Pemutar Seek,مشغل سيك,सीक प्लेयर
tab_music_list,Music,音樂,音樂,音乐,音楽,음악,Musik,Música,Musique,Musica,Música,Музыка,Müzik,Nhạc,Musik,الموسيقى,संगीत
tab_player,Player,播放器,播放器,播放器,プレイヤー,플레이어,Player,Reproductor,Lecteur,Lettore,Reprodutor,Плеер,Oynatıcı,Trình phát,Pemutar,المشغل,प्लेयर
tab_profile,Profile,我的,我的,我的,マイページ,마이,Profil,Perfil,Profil,Profilo,Perfil,Профиль,Profil,Cá nhân,Profil,حسابي,प्रोफ़ाइल
profile_account,Account,帳戶,帳戶,账户,アカウント,계정,Konto,Cuenta,Compte,Account,Conta,Аккаунт,Hesap,Tài khoản,Akun,الحساب,खाता
profile_statistics,Statistics,統計數據,統計數據,统计数据,統計,통계,Statistiken,Estadísticas,Statistiques,Statistiche,Estatísticas,Статистика,İstatistikler,Thống kê,Statistik,الإحصائيات,आँकड़े
profile_settings,Settings,設定,設定,设置,設定,설정,Einstellungen,Ajustes,Paramètres,Impostazioni,Configurações,Настройки,Ayarlar,Cài đặt,Pengaturan,الإعدادات,सेटिंग्स
profile_about,About,關於,關於,关于,アプリについて,정보,Über,Acerca de,À propos,Informazioni,Sobre,О приложении,Hakkında,Giới thiệu,Tentang,حول,परिचय
player_play,Play,播放,播放,播放,再生,재생,Wiedergabe,Reproducir,Lire,Riproduci,Reproduzir,Воспроизвести,Oynat,Phát,Putar,تشغيل,चलाएँ
player_pause,Pause,暫停,暫停,暂停,一時停止,일시정지,Pause,Pausa,Pause,Pausa,Pausar,Пауза,Duraklat,Tạm dừng,Jeda,إيقاف مؤقت,रोकें
player_next,Next,下一首,下一首,下一首,次へ,다음,Weiter,Siguiente,Suivant,Successivo,Próxima,Следующий,Sonraki,Tiếp theo,Berikutnya,التالي,अगला
player_previous,Previous,上一首,上一首,上一首,前へ,이전,Zurück,Anterior,Précédent,Precedente,Anterior,Предыдущий,Önceki,Trước đó,Sebelumnya,السابق,पिछला
